27
ARTIS GILMORE
MOSES MALONE
JACK SIKMA
JOEBARRY CARROLL
KEVIN MCHALE
JEFF RULAND
BUCK WILLIAMS
TERRY CUMMINGS
RALPH SAMPSON
CHARLES BARKLEY
HAKEEM OLAJUWON
OTIS THORPE
PATRICK EWING
KARL MALONE
DETLEF SCHREMPF
SHAWN KEMP
DAVID ROBINSON
DERRICK COLEMAN
DIKEMBE MUTOMBO
ALONZO MOURNING
SHAQUILLE O'NEAL
VIN BAKER
GRANT HILL
KEVIN GARNETT
SHAREEF ABDUR-RAHIM
TIM DUNCAN
ELTON BRAND
